,id,labels
0,20800,0
1,20801,1
2,20802,1
3,20803,0
4,20804,1
5,20805,1
6,20806,0
7,20807,1
8,20808,1
9,20809,1
10,20810,1
11,20811,1
12,20812,1
13,20813,1
14,20814,1
15,20815,0
16,20816,0
17,20817,0
18,20818,1
19,20819,0
20,20820,1
21,20821,1
22,20822,1
23,20823,1
24,20824,1
25,20825,0
26,20826,1
27,20827,0
28,20828,0
29,20829,1
30,20830,0
31,20831,1
32,20832,0
33,20833,0
34,20834,1
35,20835,0
36,20836,0
37,20837,1
38,20838,1
39,20839,0
40,20840,0
41,20841,0
42,20842,1
43,20843,0
44,20844,0
45,20845,1
46,20846,0
47,20847,0
48,20848,1
49,20849,1
50,20850,0
51,20851,1
52,20852,0
53,20853,1
54,20854,1
55,20855,0
56,20856,1
57,20857,0
58,20858,0
59,20859,0
60,20860,1
61,20861,1
62,20862,1
63,20863,0
64,20864,1
65,20865,1
66,20866,1
67,20867,1
68,20868,1
69,20869,0
70,20870,1
71,20871,1
72,20872,1
73,20873,0
74,20874,0
75,20875,1
76,20876,0
77,20877,0
78,20878,1
79,20879,0
80,20880,0
81,20881,1
82,20882,0
83,20883,1
84,20884,1
85,20885,1
86,20886,0
87,20887,0
88,20888,0
89,20889,0
90,20890,1
91,20891,0
92,20892,0
93,20893,1
94,20894,1
95,20895,0
96,20896,0
97,20897,0
98,20898,1
99,20899,1
100,20900,0
101,20901,1
102,20902,0
103,20903,0
104,20904,0
105,20905,0
106,20906,1
107,20907,0
108,20908,1
109,20909,1
110,20910,1
111,20911,1
112,20912,0
113,20913,0
114,20914,0
115,20915,0
116,20916,0
117,20917,1
118,20918,0
119,20919,1
120,20920,0
121,20921,0
122,20922,1
123,20923,0
124,20924,0
125,20925,1
126,20926,1
127,20927,0
128,20928,1
129,20929,0
130,20930,1
131,20931,0
132,20932,1
133,20933,0
134,20934,0
135,20935,0
136,20936,0
137,20937,1
138,20938,1
139,20939,1
140,20940,1
141,20941,0
142,20942,1
143,20943,1
144,20944,1
145,20945,0
146,20946,1
147,20947,1
148,20948,0
149,20949,0
150,20950,1
151,20951,1
152,20952,0
153,20953,1
154,20954,0
155,20955,1
156,20956,0
157,20957,1
158,20958,1
159,20959,1
160,20960,1
161,20961,1
162,20962,1
163,20963,1
164,20964,0
165,20965,1
166,20966,0
167,20967,1
168,20968,1
169,20969,0
170,20970,0
171,20971,0
172,20972,0
173,20973,1
174,20974,0
175,20975,0
176,20976,0
177,20977,0
178,20978,0
179,20979,0
180,20980,0
181,20981,0
182,20982,0
183,20983,1
184,20984,0
185,20985,1
186,20986,1
187,20987,0
188,20988,1
189,20989,0
190,20990,1
191,20991,0
192,20992,0
193,20993,0
194,20994,1
195,20995,1
196,20996,1
197,20997,1
198,20998,1
199,20999,0
200,21000,0
201,21001,1
202,21002,0
203,21003,1
204,21004,0
205,21005,1
206,21006,1
207,21007,1
208,21008,0
209,21009,1
210,21010,0
211,21011,1
212,21012,0
213,21013,0
214,21014,1
215,21015,1
216,21016,1
217,21017,0
218,21018,0
219,21019,1
220,21020,0
221,21021,1
222,21022,0
223,21023,0
224,21024,0
225,21025,1
226,21026,1
227,21027,1
228,21028,0
229,21029,0
230,21030,0
231,21031,0
232,21032,1
233,21033,1
234,21034,1
235,21035,1
236,21036,1
237,21037,1
238,21038,1
239,21039,0
240,21040,1
241,21041,1
242,21042,0
243,21043,1
244,21044,1
245,21045,0
246,21046,0
247,21047,1
248,21048,0
249,21049,1
250,21050,1
251,21051,1
252,21052,1
253,21053,0
254,21054,1
255,21055,0
256,21056,0
257,21057,1
258,21058,1
259,21059,1
260,21060,0
261,21061,1
262,21062,1
263,21063,0
264,21064,1
265,21065,1
266,21066,1
267,21067,1
268,21068,0
269,21069,1
270,21070,0
271,21071,1
272,21072,1
273,21073,1
274,21074,0
275,21075,0
276,21076,0
277,21077,0
278,21078,0
279,21079,1
280,21080,1
281,21081,1
282,21082,0
283,21083,1
284,21084,1
285,21085,0
286,21086,0
287,21087,1
288,21088,0
289,21089,1
290,21090,0
291,21091,1
292,21092,0
293,21093,1
294,21094,1
295,21095,1
296,21096,1
297,21097,1
298,21098,1
299,21099,0
300,21100,0
301,21101,0
302,21102,1
303,21103,1
304,21104,1
305,21105,0
306,21106,1
307,21107,1
308,21108,0
309,21109,0
310,21110,0
311,21111,1
312,21112,1
313,21113,0
314,21114,0
315,21115,1
316,21116,0
317,21117,1
318,21118,0
319,21119,1
320,21120,0
321,21121,0
322,21122,0
323,21123,1
324,21124,0
325,21125,1
326,21126,1
327,21127,0
328,21128,0
329,21129,1
330,21130,1
331,21131,0
332,21132,1
333,21133,1
334,21134,0
335,21135,1
336,21136,1
337,21137,0
338,21138,0
339,21139,0
340,21140,1
341,21141,0
342,21142,1
343,21143,0
344,21144,1
345,21145,0
346,21146,1
347,21147,1
348,21148,0
349,21149,1
350,21150,0
351,21151,0
352,21152,1
353,21153,1
354,21154,0
355,21155,1
356,21156,0
357,21157,1
358,21158,0
359,21159,0
360,21160,1
361,21161,1
362,21162,1
363,21163,1
364,21164,1
365,21165,0
366,21166,1
367,21167,1
368,21168,1
369,21169,0
370,21170,0
371,21171,1
372,21172,0
373,21173,0
374,21174,1
375,21175,0
376,21176,1
377,21177,1
378,21178,0
379,21179,0
380,21180,0
381,21181,1
382,21182,1
383,21183,0
384,21184,1
385,21185,1
386,21186,1
387,21187,1
388,21188,0
389,21189,0
390,21190,1
391,21191,1
392,21192,1
393,21193,1
394,21194,0
395,21195,1
396,21196,1
397,21197,0
398,21198,0
399,21199,0
400,21200,0
401,21201,0
402,21202,0
403,21203,0
404,21204,1
405,21205,0
406,21206,0
407,21207,0
408,21208,0
409,21209,0
410,21210,1
411,21211,0
412,21212,1
413,21213,0
414,21214,0
415,21215,0
416,21216,0
417,21217,0
418,21218,0
419,21219,0
420,21220,0
421,21221,0
422,21222,1
423,21223,0
424,21224,1
425,21225,1
426,21226,0
427,21227,1
428,21228,0
429,21229,0
430,21230,0
431,21231,1
432,21232,0
433,21233,1
434,21234,0
435,21235,0
436,21236,0
437,21237,1
438,21238,1
439,21239,0
440,21240,1
441,21241,0
442,21242,1
443,21243,0
444,21244,0
445,21245,0
446,21246,0
447,21247,1
448,21248,0
449,21249,0
450,21250,1
451,21251,1
452,21252,1
453,21253,1
454,21254,0
455,21255,0
456,21256,0
457,21257,0
458,21258,1
459,21259,0
460,21260,0
461,21261,0
462,21262,0
463,21263,0
464,21264,0
465,21265,0
466,21266,0
467,21267,0
468,21268,0
469,21269,0
470,21270,1
471,21271,0
472,21272,0
473,21273,0
474,21274,1
475,21275,0
476,21276,1
477,21277,1
478,21278,0
479,21279,1
480,21280,1
481,21281,0
482,21282,1
483,21283,0
484,21284,0
485,21285,0
486,21286,1
487,21287,1
488,21288,0
489,21289,0
490,21290,0
491,21291,0
492,21292,0
493,21293,1
494,21294,0
495,21295,0
496,21296,0
497,21297,1
498,21298,1
499,21299,1
500,21300,1
501,21301,0
502,21302,0
503,21303,0
504,21304,1
505,21305,1
506,21306,0
507,21307,0
508,21308,0
509,21309,0
510,21310,1
511,21311,1
512,21312,1
513,21313,0
514,21314,0
515,21315,1
516,21316,1
517,21317,0
518,21318,0
519,21319,0
520,21320,0
521,21321,0
522,21322,1
523,21323,1
524,21324,0
525,21325,1
526,21326,0
527,21327,0
528,21328,1
529,21329,1
530,21330,1
531,21331,1
532,21332,1
533,21333,1
534,21334,1
535,21335,0
536,21336,1
537,21337,0
538,21338,1
539,21339,1
540,21340,1
541,21341,1
542,21342,1
543,21343,0
544,21344,0
545,21345,1
546,21346,0
547,21347,0
548,21348,1
549,21349,0
550,21350,0
551,21351,1
552,21352,0
553,21353,1
554,21354,1
555,21355,0
556,21356,1
557,21357,0
558,21358,0
559,21359,1
560,21360,0
561,21361,1
562,21362,0
563,21363,0
564,21364,1
565,21365,1
566,21366,0
567,21367,1
568,21368,1
569,21369,0
570,21370,1
571,21371,0
572,21372,1
573,21373,0
574,21374,0
575,21375,0
576,21376,0
577,21377,1
578,21378,0
579,21379,0
580,21380,0
581,21381,0
582,21382,1
583,21383,1
584,21384,0
585,21385,1
586,21386,1
587,21387,1
588,21388,0
589,21390,1
590,21391,1
591,21392,0
592,21393,0
593,21394,0
594,21395,0
595,21396,0
596,21397,0
597,21398,0
598,21399,0
599,21400,1
600,21401,0
601,21402,1
602,21403,1
603,21404,0
604,21405,0
605,21406,0
606,21407,1
607,21408,0
608,21409,0
609,21410,1
610,21411,1
611,21412,0
612,21413,0
613,21414,0
614,21415,1
615,21416,1
616,21417,0
617,21418,0
618,21419,1
619,21420,1
620,21421,0
621,21422,1
622,21423,0
623,21424,0
624,21425,0
625,21427,0
626,21428,1
627,21429,0
628,21430,0
629,21431,1
630,21432,0
631,21433,1
632,21434,1
633,21435,0
634,21436,0
635,21437,1
636,21438,0
637,21439,1
638,21440,0
639,21441,1
640,21442,1
641,21443,1
642,21444,0
643,21445,1
644,21446,1
645,21447,0
646,21448,1
647,21449,0
648,21450,1
649,21451,1
650,21452,0
651,21453,1
652,21454,0
653,21455,1
654,21456,0
655,21457,1
656,21458,0
657,21459,0
658,21460,1
659,21461,1
660,21462,0
661,21463,1
662,21464,0
663,21465,0
664,21466,0
665,21467,0
666,21468,1
667,21469,0
668,21470,0
669,21471,1
670,21472,0
671,21473,0
672,21474,0
673,21475,0
674,21476,1
675,21477,1
676,21478,0
677,21479,1
678,21480,1
679,21481,0
680,21482,1
681,21483,0
682,21484,0
683,21485,1
684,21486,0
685,21487,1
686,21488,1
687,21489,0
688,21490,0
689,21491,0
690,21492,1
691,21493,1
692,21494,0
693,21495,0
694,21496,1
695,21497,0
696,21498,1
697,21499,0
698,21500,0
699,21501,0
700,21502,0
701,21503,1
702,21504,1
703,21505,1
704,21506,1
705,21507,0
706,21508,0
707,21509,0
708,21510,0
709,21511,1
710,21512,0
711,21513,1
712,21514,0
713,21515,0
714,21516,1
715,21517,1
716,21518,0
717,21519,0
718,21520,1
719,21521,0
720,21522,1
721,21523,1
722,21524,1
723,21525,0
724,21526,0
725,21527,0
726,21528,1
727,21529,0
728,21530,0
729,21531,0
730,21532,0
731,21533,0
732,21534,0
733,21535,0
734,21536,0
735,21537,1
736,21538,1
737,21539,0
738,21540,1
739,21541,1
740,21542,0
741,21543,0
742,21544,1
743,21545,0
744,21546,0
745,21547,0
746,21548,0
747,21549,0
748,21550,1
749,21551,1
750,21552,1
751,21553,1
752,21554,0
753,21555,1
754,21556,0
755,21557,0
756,21558,1
757,21559,1
758,21560,0
759,21561,0
760,21562,0
761,21563,0
762,21564,1
763,21565,1
764,21566,0
765,21567,1
766,21568,0
